mois,mois_label,saison,succursale,region,surface_m2,campagne_locale,depenses_marketing,achalandage,heures_personnel,ruptures_stock,delai_service_minutes,satisfaction,ventes
2025-04-01,avril,régulière,Trois-Rivières,Mauricie,365,oui,5867,1417,428,2,6.1,7.4,138702
2025-05-01,mai,régulière,Gatineau,Outaouais,420,oui,6275,1508,497,1,4.5,7.9,156892
2025-05-01,mai,régulière,Montréal,Montréal,560,oui,6804,2148,516,1,6.5,8,185871
2025-05-01,mai,régulière,Québec,Capitale-Nationale,470,non,4750,1591,524,3,7.1,7.6,155420
2025-05-01,mai,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,non,4032,1370,455,1,6.2,7.8,140624
2025-05-01,mai,régulière,Sherbrooke,Estrie,390,oui,3934,1264,476,4,5.8,7.7,126284
2025-05-01,mai,régulière,Trois-Rivières,Mauricie,365,oui,5431,1558,483,3,5.4,7.3,151821
2025-06-01,juin,régulière,Gatineau,Outaouais,420,oui,7064,1536,512,1,4.6,8.9,165887
2025-06-01,juin,régulière,Montréal,Montréal,560,non,4330,1865,507,2,6.4,8.1,157533
2025-06-01,juin,régulière,Québec,Capitale-Nationale,470,oui,6178,1808,496,1,5.7,8.4,167754
2025-06-01,juin,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,non,4044,1448,475,2,5.4,7.3,137612
2025-06-01,juin,régulière,Sherbrooke,Estrie,390,non,3921,1479,491,0,4.7,8,140749
2025-06-01,juin,régulière,Trois-Rivières,Mauricie,365,non,4462,1373,414,0,5.1,8.7,125669
2025-07-01,juillet,moyenne,Gatineau,Outaouais,420,non,3640,1540,483,0,4.5,8.4,143217
2025-07-01,juillet,moyenne,Montréal,Montréal,560,non,5392,2205,553,3,7.2,7.6,179030
2025-07-01,juillet,moyenne,Québec,Capitale-Nationale,470,oui,5906,1789,493,1,4.9,8.2,163144
2025-07-01,juillet,moyenne,Saguenay,Saguenay-Lac-Saint-Jean,350,non,2786,1336,478,3,6.5,6.8,116180
2025-07-01,juillet,moyenne,Sherbrooke,Estrie,390,non,3264,1587,461,3,6.8,7.1,137452
2025-07-01,juillet,moyenne,Trois-Rivières,Mauricie,365,oui,4466,1294,473,2,5.3,8,134266
2025-08-01,août,régulière,Gatineau,Outaouais,420,non,4973,1736,473,1,5.3,8.2,151724
2025-08-01,août,régulière,Montréal,Montréal,560,oui,6368,2152,568,1,5.5,8.6,202099
2025-08-01,août,régulière,Québec,Capitale-Nationale,470,oui,6452,1600,492,2,5.6,7.2,164611
2025-08-01,août,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,non,3689,1374,486,4,7.5,6.6,127241
2025-08-01,août,régulière,Sherbrooke,Estrie,390,non,2685,1356,473,2,6.2,7.4,125332
2025-08-01,août,régulière,Trois-Rivières,Mauricie,365,oui,4527,1315,470,1,6,7.9,145243
2025-09-01,septembre,régulière,Gatineau,Outaouais,420,oui,6346,1785,495,3,6.8,7.6,161172
2025-09-01,septembre,régulière,Montréal,Montréal,560,non,6333,2032,507,2,7.7,7.7,172202
2025-09-01,septembre,régulière,Québec,Capitale-Nationale,470,oui,6639,1704,509,1,5.3,8.4,169503
2025-09-01,septembre,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,non,2511,1077,440,1,5,8.9,105843
2025-09-01,septembre,régulière,Sherbrooke,Estrie,390,oui,6195,1685,515,0,4.8,8.5,167797
2025-09-01,septembre,régulière,Trois-Rivières,Mauricie,365,oui,4134,1292,467,2,7.4,7.5,134840
2025-10-01,octobre,régulière,Gatineau,Outaouais,420,oui,5001,1783,543,1,6.6,8.5,176595
2025-10-01,octobre,régulière,Montréal,Montréal,560,non,5337,1877,549,0,3.6,8.2,173463
2025-10-01,octobre,régulière,Québec,Capitale-Nationale,470,non,4418,1705,509,2,6.1,7.6,156532
2025-10-01,octobre,régulière,Saguenay,Saguenay-Lac-Saint-Jean,350,non,4140,1344,443,1,6.1,8.2,144854
2025-10-01,octobre,régulière,Sherbrooke,Estrie,390,non,2918,1377,461,0,4.6,8.7,132008
2025-10-01,octobre,régulière,Trois-Rivières,Mauricie,365,oui,4815,1275,470,1,4.6,8.5,140234
2025-11-01,novembre,haute,Gatineau,Outaouais,420,non,5250,1756,528,2,5.7,7.1,159947
2025-11-01,novembre,haute,Montréal,Montréal,560,non,7346,2424,569,5,8.1,7.3,191693
2025-11-01,novembre,haute,Québec,Capitale-Nationale,470,oui,7153,1907,484,3,6.4,7.6,170851
2025-11-01,novembre,haute,Saguenay,Saguenay-Lac-Saint-Jean,350,oui,6573,1632,482,2,5.9,8.7,159479
2025-11-01,novembre,haute,Sherbrooke,Estrie,390,non,5407,1828,484,4,6.9,7.7,154054
2025-11-01,novembre,haute,Trois-Rivières,Mauricie,365,oui,6099,1819,535,3,7.1,7.1,160747
2025-12-01,décembre,haute,Gatineau,Outaouais,420,non,4883,1801,510,5,6.4,7.7,154478
2025-12-01,décembre,haute,Montréal,Montréal,560,non,8024,2398,587,3,8.4,7,203352
2025-12-01,décembre,haute,Québec,Capitale-Nationale,470,non,6704,2144,492,1,6,8.3,181808
2025-12-01,décembre,haute,Saguenay,Saguenay-Lac-Saint-Jean,350,non,3461,1339,496,3,6.7,6.9,131234
2025-12-01,décembre,haute,Sherbrooke,Estrie,390,non,4884,1917,502,4,6.5,7.7,167424
2025-12-01,décembre,haute,Trois-Rivières,Mauricie,365,oui,6139,1750,531,4,7,7.6,164154
