date,succursale,indice_temps,promotion,capacite,achalandage,ruptures_stock,temps_attente,satisfaction,taux_utilisation,ventes,service_insuffisant_mois_suivant
2024-02-01,Gatineau,50,non,2100,1856,0,4.3,7.9,0.8838095238095238,163026,0
2024-03-01,Gatineau,51,non,2100,1843,1,3.1,8.6,0.8776190476190476,162060,0
2024-04-01,Gatineau,52,oui,2100,2098,0,4.1,9,0.9990476190476191,214358,0
2024-05-01,Gatineau,53,oui,2100,2051,1,4.4,7.7,0.9766666666666667,210276,0
2024-06-01,Gatineau,54,non,2100,1975,1,3.5,7.6,0.9404761904761905,182748,0
2024-07-01,Gatineau,55,non,2100,1763,1,3.6,8.1,0.8395238095238096,152897,1
2024-08-01,Gatineau,56,oui,2100,2190,3,6.9,6.5,1.042857142857143,204534,0
2024-09-01,Gatineau,57,non,2100,2109,4,5.6,7.3,1.0042857142857142,182048,0
2024-10-01,Gatineau,58,non,2100,1818,2,4,8,0.8657142857142858,163059,0
2024-11-01,Gatineau,59,non,2100,1919,1,4.3,8.1,0.9138095238095238,165396,0
2024-12-01,Gatineau,60,oui,2100,2226,1,4.2,7,1.06,206257,0
2025-01-01,Gatineau,61,non,2100,1853,1,3.5,7.9,0.8823809523809524,163008,0
2025-02-01,Gatineau,62,oui,2100,2203,2,4.8,6.9,1.049047619047619,197573,0
2025-03-01,Gatineau,63,non,2100,1983,4,5.7,7,0.9442857142857143,177114,0
2025-04-01,Gatineau,64,oui,2100,2135,2,6.4,6.6,1.0166666666666666,187543,0
2025-05-01,Gatineau,65,non,2100,1974,1,5.1,8.2,0.94,172381,0
2025-06-01,Gatineau,66,oui,2100,2402,0,4.9,8.1,1.1438095238095238,226392,0
2025-07-01,Gatineau,67,non,2100,1965,2,5.4,7.5,0.9357142857142857,169861,0
2025-08-01,Gatineau,68,non,2100,1908,2,4.8,7.2,0.9085714285714286,170755,0
2025-09-01,Gatineau,69,non,2100,1837,2,5.2,7,0.8747619047619047,176761,0
2025-10-01,Gatineau,70,non,2100,2120,3,5.2,7,1.0095238095238095,186818,0
2025-11-01,Gatineau,71,non,2100,1990,0,4.8,7,0.9476190476190476,177416,0
2025-12-01,Gatineau,72,oui,2100,2338,1,5,6.9,1.1133333333333333,224255,0
2020-01-01,Montréal,1,non,3300,2468,3,4.7,7.5,0.7478787878787879,218022,1
2020-02-01,Montréal,2,non,3300,2598,3,4.2,7.8,0.7872727272727272,234683,0
2020-03-01,Montréal,3,non,3300,2453,3,3.9,7.1,0.7433333333333333,217182,0
2020-04-01,Montréal,4,non,3300,2578,2,5.1,7.7,0.7812121212121212,233119,0
2020-05-01,Montréal,5,non,3300,2442,1,4.3,6.7,0.74,223660,1
2020-06-01,Montréal,6,non,3300,2482,1,3.6,9.2,0.7521212121212121,222468,0
2020-07-01,Montréal,7,non,3300,2395,4,4.5,8.3,0.7257575757575757,204441,0
2020-08-01,Montréal,8,non,3300,2457,3,3.8,8.3,0.7445454545454545,229715,0
2020-09-01,Montréal,9,non,3300,2616,2,3.5,8.3,0.7927272727272727,232511,0
2020-10-01,Montréal,10,oui,3300,2958,3,4.1,7.8,0.8963636363636364,261572,0
2020-11-01,Montréal,11,oui,3300,3057,2,3.5,8,0.9263636363636364,283255,0
2020-12-01,Montréal,12,oui,3300,2905,4,4.8,5.6,0.8803030303030303,268257,0
2021-01-01,Montréal,13,oui,3300,2829,1,3,7.5,0.8572727272727273,278841,0
2021-02-01,Montréal,14,non,3300,2713,0,3.5,8.3,0.8221212121212121,246165,0
2021-03-01,Montréal,15,non,3300,2537,1,3.9,7.1,0.7687878787878788,220987,1
2021-04-01,Montréal,16,oui,3300,2971,0,3.2,7.9,0.9003030303030303,278228,0
2021-05-01,Montréal,17,non,3300,2796,0,2.2,8,0.8472727272727273,256620,0
2021-06-01,Montréal,18,non,3300,2799,2,4.4,7.7,0.8481818181818181,254383,0
2021-07-01,Montréal,19,oui,3300,2752,1,4.1,7,0.833939393939394,273702,0
2021-08-01,Montréal,20,non,3300,2758,1,3.1,8.6,0.8357575757575758,237081,0
2021-09-01,Montréal,21,non,3300,2604,2,4.3,7.8,0.7890909090909091,238540,0
2021-10-01,Montréal,22,non,3300,2611,0,2.5,9.1,0.7912121212121213,232593,0
2021-11-01,Montréal,23,non,3300,2778,2,4.4,7.9,0.8418181818181818,239828,0
2021-12-01,Montréal,24,non,3300,2770,1,3.5,8.5,0.8393939393939394,238371,0
2022-01-01,Montréal,25,non,3300,2566,0,3.7,7.7,0.7775757575757576,234065,0
2022-02-01,Montréal,26,non,3300,2707,1,3.4,7.3,0.8203030303030303,242952,0
2022-03-01,Montréal,27,non,3300,2605,1,3.5,8.2,0.7893939393939394,228795,0
2022-04-01,Montréal,28,non,3300,2752,1,5.1,7.1,0.833939393939394,249325,0
2022-05-01,Montréal,29,oui,3300,3054,0,5.5,7.4,0.9254545454545454,286653,0
2022-06-01,Montréal,30,oui,3300,2972,2,3.9,8.2,0.9006060606060606,276424,0
2022-07-01,Montréal,31,oui,3300,3117,2,3.8,7.6,0.9445454545454546,283877,0
2022-08-01,Montréal,32,non,3300,2658,1,2.5,7.8,0.8054545454545454,231479,0
2022-09-01,Montréal,33,oui,3300,3107,2,4,8.2,0.9415151515151515,289092,0
2022-10-01,Montréal,34,non,3300,2667,2,4.1,7.8,0.8081818181818182,234661,0
2022-11-01,Montréal,35,non,3300,2926,3,5.7,7.6,0.8866666666666667,255798,0
2022-12-01,Montréal,36,non,3300,2871,3,5,7.7,0.87,243434,0
2023-01-01,Montréal,37,oui,3300,2906,4,5.2,7.3,0.8806060606060606,256420,0
2023-02-01,Montréal,38,non,3300,2904,2,5,7.6,0.88,255308,0
2023-03-01,Montréal,39,non,3300,2802,1,3.8,7.3,0.8490909090909091,259334,0
2023-04-01,Montréal,40,non,3300,2849,3,4.4,7.5,0.8633333333333333,240741,0
2023-05-01,Montréal,41,non,3300,2808,2,3.7,8,0.850909090909091,242623,0
2023-06-01,Montréal,42,non,3300,2715,1,4.7,7.5,0.8227272727272728,240173,0
2023-07-01,Montréal,43,oui,3300,3148,1,5,6.9,0.953939393939394,291329,0
2023-08-01,Montréal,44,non,3300,2861,4,5.5,7.3,0.866969696969697,239634,0
2023-09-01,Montréal,45,oui,3300,3214,1,5.4,6.4,0.973939393939394,292339,1
2023-10-01,Montréal,46,non,3300,2836,1,3.4,7.9,0.8593939393939394,257935,0
2023-11-01,Montréal,47,oui,3300,3302,3,5.5,8,1.0006060606060605,300362,1
2023-12-01,Montréal,48,oui,3300,3344,1,4.7,8.7,1.0133333333333334,304496,0
2024-01-01,Montréal,49,non,3300,2822,2,4,8.2,0.8551515151515151,244895,0
2024-02-01,Montréal,50,non,3300,2914,0,3.6,8.1,0.883030303030303,259426,0
2024-03-01,Montréal,51,non,3300,2926,0,5,6.8,0.8866666666666667,270120,0
2024-04-01,Montréal,52,oui,3300,3131,1,3.4,9.1,0.9487878787878787,286413,0
2024-05-01,Montréal,53,non,3300,2846,1,4.5,7.3,0.8624242424242424,250049,0
2024-06-01,Montréal,54,non,3300,2894,2,5.1,7.3,0.876969696969697,243839,1
2024-07-01,Montréal,55,non,3300,2879,1,4.4,7.2,0.8724242424242424,252036,0
2024-08-01,Montréal,56,non,3300,2947,1,3.7,8.3,0.8930303030303031,260778,0
2024-09-01,Montréal,57,non,3300,2987,5,5.7,6.5,0.9051515151515152,249191,1
2024-10-01,Montréal,58,non,3300,3201,1,4.4,8,0.97,276851,0
2024-11-01,Montréal,59,non,3300,3259,4,6.4,7,0.9875757575757576,277468,1
2024-12-01,Montréal,60,non,3300,3216,3,4.7,7.9,0.9745454545454545,265442,0
2025-01-01,Montréal,61,oui,3300,3211,1,4.5,7.5,0.973030303030303,298786,0
2025-02-01,Montréal,62,oui,3300,3247,1,4.2,7.3,0.9839393939393939,293297,0
2025-03-01,Montréal,63,non,3300,2983,1,5.3,7.8,0.9039393939393939,259992,0
2025-04-01,Montréal,64,non,3300,3086,1,3.8,8.2,0.9351515151515152,266643,0
2025-05-01,Montréal,65,non,3300,3035,0,4.2,8.3,0.9196969696969697,259095,0
2025-06-01,Montréal,66,non,3300,2851,1,3.5,8.3,0.8639393939393939,255152,0
2025-07-01,Montréal,67,oui,3300,3310,3,4.6,7.5,1.003030303030303,292860,0
2025-08-01,Montréal,68,oui,3300,3347,1,5.3,6.6,1.0142424242424242,305948,0
2025-09-01,Montréal,69,non,3300,3206,1,4.1,7.3,0.9715151515151516,274924,0
2025-10-01,Montréal,70,non,3300,3050,3,4.1,7.4,0.9242424242424242,268564,0
2025-11-01,Montréal,71,non,3300,3280,2,4.8,7.6,0.9939393939393939,271828,0
2025-12-01,Montréal,72,non,3300,3315,5,6,6.8,1.0045454545454546,266840,1
2020-01-01,Québec,1,non,2400,1694,2,3.4,8.4,0.7058333333333333,160600,0
2020-02-01,Québec,2,non,2400,1924,4,4.6,6.7,0.8016666666666666,166670,0
2020-03-01,Québec,3,non,2400,1807,0,2.7,8.6,0.7529166666666667,164205,0
2020-04-01,Québec,4,non,2400,1723,0,3.4,7.8,0.7179166666666666,183793,0
2020-05-01,Québec,5,oui,2400,2077,0,3.6,7.5,0.8654166666666666,221861,0
2020-06-01,Québec,6,non,2400,1862,2,3.9,8.7,0.7758333333333334,168365,0
2020-07-01,Québec,7,non,2400,1957,3,5.3,7.2,0.8154166666666667,173057,0
2020-08-01,Québec,8,oui,2400,2054,4,5.1,7.1,0.8558333333333333,200415,1
2020-09-01,Québec,9,non,2400,1951,0,3.1,8.2,0.8129166666666666,179255,0
2020-10-01,Québec,10,oui,2400,2258,3,5.6,7.4,0.9408333333333333,221470,0
2020-11-01,Québec,11,non,2400,1967,0,3.4,7.9,0.8195833333333333,174944,0
2020-12-01,Québec,12,non,2400,1936,3,5.4,7.2,0.8066666666666666,169010,0
2021-01-01,Québec,13,oui,2400,2113,0,3.3,8.1,0.8804166666666666,210496,0
2021-02-01,Québec,14,non,2400,1940,0,2.8,8.4,0.8083333333333333,175906,0
2021-03-01,Québec,15,non,2400,1860,3,3.8,7.9,0.775,163019,0
2021-04-01,Québec,16,non,2400,2113,2,3.6,8.6,0.8804166666666666,193530,0
2021-05-01,Québec,17,non,2400,2033,1,4.2,8,0.8470833333333333,186155,0
2021-06-01,Québec,18,non,2400,1964,2,3.3,7.7,0.8183333333333334,181187,0
2021-07-01,Québec,19,oui,2400,2310,1,4.3,7.8,0.9625,229483,0
2021-08-01,Québec,20,non,2400,2053,2,4.9,6.1,0.8554166666666667,185351,1
2021-09-01,Québec,21,non,2400,1978,1,4.1,8.4,0.8241666666666667,180547,0
2021-10-01,Québec,22,non,2400,2188,2,4.4,8.3,0.9116666666666666,182392,0
2021-11-01,Québec,23,oui,2400,2179,4,4.5,6.8,0.9079166666666667,195183,0
2021-12-01,Québec,24,non,2400,2057,2,4.2,7.8,0.8570833333333333,180639,0
2022-01-01,Québec,25,non,2400,2033,2,4.7,7.4,0.8470833333333333,185523,0
2022-02-01,Québec,26,oui,2400,2218,1,4.3,7.3,0.9241666666666667,206343,0
2022-03-01,Québec,27,non,2400,2034,1,4.6,6.4,0.8475,189108,0
2022-04-01,Québec,28,oui,2400,2030,6,5.1,6.7,0.8458333333333333,199013,1
2022-05-01,Québec,29,oui,2400,2358,4,6.5,7.1,0.9825,204274,1
2022-06-01,Québec,30,oui,2400,2107,1,4,7,0.8779166666666667,198705,0
2022-07-01,Québec,31,non,2400,1940,4,4.6,7.1,0.8083333333333333,170859,0
2022-08-01,Québec,32,non,2400,1950,1,4,7.2,0.8125,183663,0
2022-09-01,Québec,33,non,2400,2030,2,4,8.3,0.8458333333333333,172798,0
2022-10-01,Québec,34,non,2400,1958,2,4.3,7.3,0.8158333333333333,179184,0
2022-11-01,Québec,35,non,2400,2121,0,3.5,7.8,0.88375,186290,1
2022-12-01,Québec,36,oui,2400,2463,6,6.6,6.3,1.02625,221357,1
2023-01-01,Québec,37,non,2400,1936,2,3.9,7.7,0.8066666666666666,182760,0
2023-02-01,Québec,38,non,2400,2016,0,3,8.7,0.84,179503,0
2023-03-01,Québec,39,oui,2400,2401,1,4,8.3,1.0004166666666667,210276,0
2023-04-01,Québec,40,non,2400,2136,1,4.8,7.3,0.89,193859,1
2023-05-01,Québec,41,non,2400,1989,1,3,9,0.82875,182067,0
2023-06-01,Québec,42,non,2400,2133,1,4.9,7.8,0.88875,192373,1
2023-07-01,Québec,43,non,2400,2188,2,4.7,7.7,0.9116666666666666,203660,1
2023-08-01,Québec,44,non,2400,2166,0,4.3,7.5,0.9025,196874,0
2023-09-01,Québec,45,oui,2400,2386,1,4.4,8.1,0.9941666666666666,217334,1
2023-10-01,Québec,46,oui,2400,2450,1,4.4,7.8,1.0208333333333333,229590,1
2023-11-01,Québec,47,oui,2400,2288,4,4.1,7.3,0.9533333333333334,214326,0
2023-12-01,Québec,48,non,2400,2176,3,4.8,7.6,0.9066666666666666,186565,0
2024-01-01,Québec,49,oui,2400,2504,2,5,7.2,1.0433333333333332,232097,0
2024-02-01,Québec,50,oui,2400,2281,3,4.3,6.9,0.9504166666666667,215068,0
2024-03-01,Québec,51,oui,2400,2415,2,5.1,6.5,1.00625,247263,0
2024-04-01,Québec,52,non,2400,2153,1,3.9,7.6,0.8970833333333333,204251,1
2024-05-01,Québec,53,non,2400,2267,1,3.8,7.9,0.9445833333333333,193687,1
2024-06-01,Québec,54,non,2400,2210,1,4.7,7.9,0.9208333333333333,190275,0
2024-07-01,Québec,55,non,2400,2022,1,4.7,7.7,0.8425,179276,0
2024-08-01,Québec,56,non,2400,2220,2,3.8,7.8,0.925,193792,0
2024-09-01,Québec,57,non,2400,2111,0,3.4,7.4,0.8795833333333334,182366,0
2024-10-01,Québec,58,non,2400,2178,2,5.1,7.3,0.9075,201185,1
2024-11-01,Québec,59,oui,2400,2516,1,4.4,6.8,1.0483333333333333,229626,0
2024-12-01,Québec,60,non,2400,2292,5,6.3,6.1,0.955,193425,1
2025-01-01,Québec,61,non,2400,2181,0,3.6,7.9,0.90875,206213,0
2025-02-01,Québec,62,non,2400,2260,3,4.3,7.2,0.9416666666666667,196939,0
2025-03-01,Québec,63,non,2400,2227,2,4.8,8.4,0.9279166666666666,183505,0
2025-04-01,Québec,64,non,2400,2164,2,5.6,7.6,0.9016666666666666,186879,0
2025-05-01,Québec,65,non,2400,2491,0,4.2,7.7,1.0379166666666666,209538,0
2025-06-01,Québec,66,non,2400,2080,3,3.8,7,0.8666666666666667,172260,0
2025-07-01,Québec,67,non,2400,2157,2,4.4,7.3,0.89875,185003,1
2025-08-01,Québec,68,oui,2400,2635,2,5.1,7.5,1.0979166666666667,242967,0
2025-09-01,Québec,69,non,2400,2254,1,4.2,7.1,0.9391666666666667,195403,0
2025-10-01,Québec,70,oui,2400,2524,3,5.5,6.7,1.0516666666666667,232214,1
2025-11-01,Québec,71,oui,2400,2501,2,4.7,7.7,1.0420833333333333,231360,1
2025-12-01,Québec,72,oui,2400,2570,2,5.2,7.3,1.0708333333333333,230891,0
2020-01-01,Sherbrooke,1,non,1850,1291,4,3.9,7.8,0.6978378378378378,106832,0
2020-02-01,Sherbrooke,2,oui,1850,1555,0,3,7.3,0.8405405405405405,160822,1
2020-03-01,Sherbrooke,3,non,1850,1377,3,4.8,8.2,0.7443243243243243,118792,0
2020-04-01,Sherbrooke,4,non,1850,1534,0,3.3,7.8,0.8291891891891892,150117,0
2020-05-01,Sherbrooke,5,non,1850,1287,2,3.7,8.3,0.6956756756756757,114761,0
2020-06-01,Sherbrooke,6,non,1850,1378,1,3.8,6.9,0.7448648648648649,129905,0
2020-07-01,Sherbrooke,7,non,1850,1498,1,3.6,7.6,0.8097297297297297,132137,0
2020-08-01,Sherbrooke,8,non,1850,1584,3,4.4,7.6,0.8562162162162162,129609,0
2020-09-01,Sherbrooke,9,non,1850,1412,0,3.3,7.4,0.7632432432432432,136267,0
2020-10-01,Sherbrooke,10,oui,1850,1846,5,6.1,6.7,0.9978378378378379,155333,0
2020-11-01,Sherbrooke,11,non,1850,1405,1,3.6,7.5,0.7594594594594595,128406,0
2020-12-01,Sherbrooke,12,oui,1850,1829,1,4.7,7.8,0.9886486486486487,185328,0
2021-01-01,Sherbrooke,13,oui,1850,1688,4,5.2,6.9,0.9124324324324324,149965,1
2021-02-01,Sherbrooke,14,non,1850,1537,1,4.6,7.4,0.8308108108108108,125486,0
2021-03-01,Sherbrooke,15,non,1850,1474,1,3.2,7.9,0.7967567567567567,131843,0
2021-04-01,Sherbrooke,16,non,1850,1496,2,3.2,7.9,0.8086486486486486,126521,0
2021-05-01,Sherbrooke,17,oui,1850,1842,1,4.6,8.1,0.9956756756756757,183293,0
2021-06-01,Sherbrooke,18,oui,1850,1836,0,4.4,7.2,0.9924324324324324,185808,1
2021-07-01,Sherbrooke,19,non,1850,1417,3,3.3,8.2,0.7659459459459459,125276,0
2021-08-01,Sherbrooke,20,non,1850,1480,4,4.3,8.1,0.8,115155,1
2021-09-01,Sherbrooke,21,non,1850,1551,2,3.3,7.9,0.8383783783783784,125957,0
2021-10-01,Sherbrooke,22,non,1850,1613,2,3.1,8.3,0.8718918918918919,150170,0
2021-11-01,Sherbrooke,23,oui,1850,1892,3,5.5,6.9,1.0227027027027027,175565,1
2021-12-01,Sherbrooke,24,non,1850,1544,5,5.4,7.6,0.8345945945945946,121066,0
2022-01-01,Sherbrooke,25,non,1850,1554,3,4.2,7.1,0.84,131832,0
2022-02-01,Sherbrooke,26,non,1850,1348,1,3.7,8.4,0.7286486486486486,131541,0
2022-03-01,Sherbrooke,27,oui,1850,1810,0,3.1,8.1,0.9783783783783784,176147,0
2022-04-01,Sherbrooke,28,oui,1850,1750,2,5.6,7.3,0.9459459459459459,167814,0
2022-05-01,Sherbrooke,29,oui,1850,1943,0,4.8,7.3,1.0502702702702702,181270,0
2022-06-01,Sherbrooke,30,oui,1850,1725,0,5.3,8,0.9324324324324325,181298,0
2022-07-01,Sherbrooke,31,non,1850,1601,0,4.8,7.4,0.8654054054054054,135872,0
2022-08-01,Sherbrooke,32,non,1850,1422,2,3.6,7.9,0.7686486486486487,134308,0
2022-09-01,Sherbrooke,33,non,1850,1727,4,6,6.8,0.9335135135135135,150412,1
2022-10-01,Sherbrooke,34,non,1850,1590,2,4.6,6.6,0.8594594594594595,131728,0
2022-11-01,Sherbrooke,35,oui,1850,1959,3,4.7,7.8,1.058918918918919,174035,0
2022-12-01,Sherbrooke,36,non,1850,1684,3,4.2,7.5,0.9102702702702703,148303,0
2023-01-01,Sherbrooke,37,non,1850,1516,3,4.5,8.1,0.8194594594594594,124312,1
2023-02-01,Sherbrooke,38,non,1850,1685,1,3.5,6.7,0.9108108108108108,150189,0
2023-03-01,Sherbrooke,39,non,1850,1535,2,4.1,7.1,0.8297297297297297,139191,0
2023-04-01,Sherbrooke,40,non,1850,1768,2,4.6,7.2,0.9556756756756757,159905,0
2023-05-01,Sherbrooke,41,non,1850,1586,4,5.4,7.2,0.8572972972972973,129541,1
2023-06-01,Sherbrooke,42,non,1850,1375,2,4.7,7.8,0.7432432432432432,126164,0
2023-07-01,Sherbrooke,43,non,1850,1647,1,4.1,7.2,0.8902702702702703,147615,0
2023-08-01,Sherbrooke,44,non,1850,1717,2,5.6,7.3,0.9281081081081081,151122,0
2023-09-01,Sherbrooke,45,oui,1850,1941,6,5.6,7.4,1.0491891891891891,164625,1
2023-10-01,Sherbrooke,46,non,1850,1607,1,4,8.1,0.8686486486486487,145124,0
2023-11-01,Sherbrooke,47,non,1850,1741,0,3.7,7.9,0.9410810810810811,158820,0
2023-12-01,Sherbrooke,48,non,1850,1604,0,2.5,8.1,0.867027027027027,158467,0
2024-01-01,Sherbrooke,49,non,1850,1743,4,5.5,7.3,0.9421621621621622,149883,0
2024-02-01,Sherbrooke,50,oui,1850,1915,2,5.8,6.3,1.0351351351351352,175381,0
2024-03-01,Sherbrooke,51,non,1850,1563,1,4.8,8.2,0.8448648648648649,141165,0
2024-04-01,Sherbrooke,52,non,1850,1706,1,4.1,8.1,0.9221621621621622,149087,1
2024-05-01,Sherbrooke,53,non,1850,1482,2,3.7,8,0.8010810810810811,120356,0
2024-06-01,Sherbrooke,54,non,1850,1670,1,4.4,7.8,0.9027027027027027,156735,1
2024-07-01,Sherbrooke,55,non,1850,1613,2,4.7,7,0.8718918918918919,150688,0
2024-08-01,Sherbrooke,56,oui,1850,2066,4,5.9,6.9,1.1167567567567567,177127,0
2024-09-01,Sherbrooke,57,non,1850,1640,1,4.4,6.7,0.8864864864864865,145644,0
2024-10-01,Sherbrooke,58,non,1850,1672,0,2.9,8,0.9037837837837838,151634,0
2024-11-01,Sherbrooke,59,non,1850,1575,2,4.3,7.7,0.8513513513513513,142284,0
2024-12-01,Sherbrooke,60,non,1850,1748,2,4.9,7.5,0.9448648648648649,153206,0
2025-01-01,Sherbrooke,61,oui,1850,2010,0,4.2,8.6,1.0864864864864865,185385,0
2025-02-01,Sherbrooke,62,non,1850,1798,0,4.6,7.1,0.9718918918918918,152139,0
2025-03-01,Sherbrooke,63,oui,1850,2124,3,5.7,7.2,1.1481081081081081,200183,1
2025-04-01,Sherbrooke,64,non,1850,1571,6,6.1,6.7,0.8491891891891892,115534,1
2025-05-01,Sherbrooke,65,non,1850,1633,0,3.6,7.8,0.8827027027027027,141966,0
2025-06-01,Sherbrooke,66,oui,1850,2070,3,6.2,6.9,1.1189189189189188,187187,1
2025-07-01,Sherbrooke,67,non,1850,1705,4,4.9,7.3,0.9216216216216216,146901,0
2025-08-01,Sherbrooke,68,non,1850,1655,2,4.8,8.1,0.8945945945945946,135527,0
2025-09-01,Sherbrooke,69,non,1850,1645,2,4.4,7.3,0.8891891891891892,137858,0
2025-10-01,Sherbrooke,70,non,1850,1724,0,4.2,7.8,0.9318918918918919,149064,0
2025-11-01,Sherbrooke,71,non,1850,1757,5,5.7,7.2,0.9497297297297297,142770,1
2025-12-01,Sherbrooke,72,non,1850,1598,2,4.8,7,0.8637837837837837,139099,0
