mois,mois_label,saison,succursale,region,surface_m2,campagne_locale,depenses_marketing,clients,panier_moyen,ventes,delai_livraison_jours,ruptures_stock,satisfaction,taux_retour
2025-08-01,août,reguliere,Gatineau,Outaouais,410,1,4233,1857,59.74,110937,2.7,3,8.1,0.033
2025-08-01,août,reguliere,Montréal,Montréal,520,1,3283,2518,59.68,150274,1.8,3,8.2,0.027
2025-08-01,août,reguliere,Québec,Capitale-Nationale,460,1,4167,2150,64.95,139642,2.8,3,7.3,0.055
2025-08-01,août,reguliere,Sherbrooke,Estrie,390,1,4634,1932,62.83,121388,2.3,4,7.9,0.06
2025-08-01,août,reguliere,Trois-Rivières,Mauricie,360,0,5484,1825,59.95,109409,2.1,5,7.3,0.043
2025-09-01,septembre,reguliere,Gatineau,Outaouais,410,0,2071,1733,57.74,100063,2.8,3,7.3,0.069
2025-09-01,septembre,reguliere,Montréal,Montréal,520,0,2837,2415,59.06,142630,3.2,5,7.5,0.047
2025-09-01,septembre,reguliere,Québec,Capitale-Nationale,460,0,3561,2133,62.12,132502,3.2,4,NA,0.051
2025-09-01,septembre,reguliere,Sherbrooke,Estrie,390,0,1827,1761,54.6,96151,3,2,7.2,0.049
2025-09-01,septembre,reguliere,Trois-Rivières,Mauricie,360,1,5544,1928,59.76,115217,2.6,2,7.3,0.023
2025-10-01,octobre,reguliere,Gatineau,Outaouais,410,0,5198,1996,61.28,122315,2.6,2,7,0.045
2025-10-01,octobre,reguliere,Montréal,Montréal,520,0,5424,2607,65.48,170706,3.1,2,7,0.045
2025-10-01,octobre,reguliere,Québec,Capitale-Nationale,460,0,2828,2260,54.86,123984,2.1,1,8.8,0.043
2025-10-01,octobre,reguliere,Sherbrooke,Estrie,390,0,4203,1775,66.03,117203,2.2,1,6.8,0.044
2025-10-01,octobre,reguliere,Trois-Rivières,Mauricie,360,0,2056,1966,62.35,122580,3.2,4,7.4,0.059
2025-11-01,novembre,haute,Gatineau,Outaouais,410,0,2092,2207,57.18,126196,NA,3,8.7,0.041
2025-11-01,novembre,haute,Montréal,Montréal,520,1,4610,2999,63.17,189447,3.6,3,7.5,0.047
2025-11-01,novembre,haute,Québec,Capitale-Nationale,460,0,3103,2405,70.64,169889,3.2,4,7.2,0.06
2025-11-01,novembre,haute,Sherbrooke,Estrie,390,0,3093,2056,69.23,142337,3.9,5,7.9,0.04
2025-11-01,novembre,haute,Trois-Rivières,Mauricie,360,1,5201,2075,64.51,133858,3.1,3,7.5,0.042
2025-12-01,décembre,haute,Gatineau,Outaouais,410,0,3520,2230,64.07,142876,3.6,4,6.9,0.031
2025-12-01,décembre,haute,Montréal,Montréal,520,0,4246,2908,69.48,202048,3.1,1,7,0.032
2025-12-01,décembre,haute,Québec,Capitale-Nationale,460,0,1812,2302,65.45,150666,3.7,0,7.4,0.019
2025-12-01,décembre,haute,Sherbrooke,Estrie,390,0,5491,2334,66.95,156261,2.6,2,7.9,0.044
2025-12-01,décembre,haute,Trois-Rivières,Mauricie,360,0,1923,1772,72.33,128169,4,2,8.1,0.047
