client_id,anciennete_mois,utilisation_mensuelle,tickets_service_6m,satisfaction,type_contrat,rabais_actuel,valeur_mensuelle,depart_90j
CL0157,14,11.1,0,8,annuel,fidélité,102.71,0
CL0158,5,11.7,2,8.1,annuel,fidélité,97.48,0
CL0159,46,11.2,5,4.8,mensuel,rétention,70.83,1
CL0160,45,10.3,2,5.7,mensuel,rétention,87.22,0
CL0161,35,10.4,1,7.6,mensuel,fidélité,106.97,0
CL0162,5,15.3,2,7,annuel,aucun,65.84,0
CL0163,90,14.6,2,6.4,mensuel,fidélité,109.58,0
CL0164,30,5.2,1,5.5,mensuel,fidélité,101.99,0
CL0165,20,19.4,1,6.4,annuel,fidélité,87.48,0
CL0166,47,12.7,0,5.5,mensuel,fidélité,75.57,0
CL0167,28,6.3,1,7.2,mensuel,aucun,76.91,0
CL0168,36,19.9,3,7.6,mensuel,fidélité,99.74,1
CL0169,65,0,0,6.5,mensuel,aucun,98.53,0
CL0170,25,13.8,5,5.7,mensuel,aucun,94.92,1
CL0171,17,19.9,2,5.8,annuel,aucun,117.96,0
CL0172,9,25.2,4,7.3,annuel,aucun,79.12,0
CL0173,22,17.1,2,6.4,annuel,aucun,108.74,0
CL0174,17,7.6,3,7.2,annuel,rétention,67.83,1
CL0175,30,9.8,1,7.8,annuel,rétention,90.03,0
CL0176,11,9.3,3,7.8,mensuel,fidélité,99.97,1
CL0177,26,17.3,0,8.9,mensuel,rétention,115.94,0
CL0178,14,19.3,2,7.9,mensuel,aucun,87.74,0
CL0179,16,5,0,8.4,mensuel,fidélité,92.32,0
CL0180,44,5.1,3,6.1,annuel,aucun,79.64,1
CL0181,41,18.1,4,6.8,mensuel,aucun,83.51,0
CL0182,27,13.5,2,5.3,mensuel,aucun,101.91,0
CL0183,19,9.7,2,6.8,annuel,rétention,59.79,0
CL0184,42,17.6,1,7.1,annuel,aucun,81.72,0
CL0185,21,21.5,0,7.6,mensuel,aucun,69.09,0
CL0186,52,15.8,2,6.2,mensuel,fidélité,107.08,0
CL0187,18,23.1,2,6.8,mensuel,aucun,110.11,1
CL0188,28,7.5,2,7.2,mensuel,rétention,82.07,1
CL0189,24,20.5,2,5.7,mensuel,fidélité,85.43,1
CL0190,12,11.4,2,7.4,annuel,aucun,79.7,0
CL0191,21,5.6,0,7.4,mensuel,fidélité,99.28,1
CL0192,17,21,3,7.7,mensuel,aucun,108.4,0
CL0193,17,22.7,3,6.5,mensuel,fidélité,126.97,0
CL0194,33,23.1,0,7.2,annuel,fidélité,109.81,0
CL0195,42,18,2,5.8,mensuel,aucun,80.05,1
CL0196,45,21.3,1,7.7,annuel,aucun,110,0
CL0197,21,17.1,1,9.4,annuel,fidélité,92.7,0
CL0198,17,13.8,0,9,annuel,aucun,109.17,0
CL0199,41,15.6,2,7.1,mensuel,fidélité,123.18,1
CL0200,22,14.8,1,6.4,mensuel,aucun,107.58,0
CL0201,15,27.3,1,9.3,mensuel,rétention,106.27,0
CL0202,18,19.6,1,5.4,mensuel,aucun,81.06,0
CL0203,23,6.6,4,6.9,mensuel,aucun,78.55,1
CL0204,28,17.6,3,8.5,mensuel,aucun,87.54,0
CL0205,18,15.6,1,7,mensuel,rétention,109.28,0
CL0206,23,1.5,3,7.2,mensuel,aucun,60.88,1
CL0207,16,15.5,0,7.9,annuel,aucun,127.31,0
CL0208,56,7.2,4,8.2,mensuel,aucun,66.57,1
CL0209,22,16.3,2,5.5,mensuel,aucun,104.41,1
CL0210,64,8.4,1,7.1,mensuel,aucun,120.76,0
CL0211,24,12.4,4,6.4,mensuel,aucun,95.54,1
CL0212,33,20.4,0,6,mensuel,fidélité,100.01,0
CL0213,19,11.4,1,6.2,annuel,aucun,67.71,1
CL0214,34,12.9,2,6,mensuel,aucun,101.91,1
CL0215,21,13.8,1,7.9,mensuel,rétention,100.21,0
CL0216,33,13.4,0,6.6,annuel,fidélité,87.03,0
CL0217,30,13,1,8.3,mensuel,fidélité,105.22,0
CL0218,11,9,2,7.7,annuel,aucun,87.53,0
CL0219,21,8.5,0,7.6,mensuel,aucun,102.3,0
CL0220,13,15.3,2,6.9,mensuel,aucun,78.76,0
CL0221,24,23.4,2,6.5,mensuel,fidélité,82.87,0
CL0222,22,16.1,2,6.9,mensuel,fidélité,140.15,1
CL0223,29,27.7,2,6.8,mensuel,rétention,89.41,0
CL0224,21,20.5,2,8,annuel,aucun,89.28,0
CL0225,12,22.8,0,10,annuel,aucun,75.56,0
CL0226,28,23.8,1,7.8,mensuel,aucun,116.52,0
CL0227,45,20.3,4,7.6,mensuel,aucun,90.51,0
CL0228,29,9.4,5,5.7,mensuel,fidélité,87.34,1
CL0229,4,14.5,2,8.9,mensuel,aucun,71.78,1
CL0230,40,19.8,0,7.7,annuel,rétention,95,0
CL0231,54,7.4,0,5.6,mensuel,rétention,66.14,1
CL0232,24,25.8,1,7.5,mensuel,rétention,117.85,0
CL0233,28,10.3,1,8.3,mensuel,aucun,67.68,0
CL0234,25,18.2,2,6.1,mensuel,fidélité,90.26,0
CL0235,17,11.2,0,8.1,annuel,aucun,120.79,0
CL0236,36,10.2,2,7.8,mensuel,aucun,100.05,0
CL0237,12,11.4,1,4.9,mensuel,aucun,86.9,0
CL0238,16,14.3,2,7.9,mensuel,aucun,92.84,1
CL0239,28,9.7,3,6.8,annuel,aucun,101.56,0
CL0240,37,8.5,0,7.3,annuel,aucun,49.64,0
CL0241,12,11.8,1,7.5,annuel,aucun,93.3,0
CL0242,10,7.5,0,10,mensuel,fidélité,59.92,0
CL0243,40,15.4,3,5.8,annuel,fidélité,97.27,0
CL0244,9,17.8,1,7.5,annuel,aucun,144.83,0
CL0245,12,17.3,3,6.4,mensuel,aucun,84.38,1
CL0246,11,15.6,1,5.8,mensuel,aucun,87.72,1
CL0247,74,20.5,5,5.4,annuel,fidélité,97.38,0
CL0248,53,10.7,1,8.7,mensuel,aucun,116.22,0
CL0249,30,9,1,8.2,annuel,fidélité,105.26,0
CL0250,17,17.3,3,6.8,annuel,fidélité,117.93,0
CL0251,74,15.9,2,8,mensuel,aucun,80.2,0
CL0252,11,4.8,0,6.5,mensuel,aucun,96.82,1
CL0253,53,12.8,2,7.1,annuel,fidélité,102.19,0
CL0254,35,20.2,1,6.1,annuel,aucun,115.15,0
CL0255,30,22.3,1,5.1,mensuel,fidélité,83.26,1
CL0256,14,20.2,0,6.9,annuel,aucun,82.48,0
CL0257,8,14.5,3,5,annuel,fidélité,73.21,0
CL0258,7,19.7,2,6.9,annuel,aucun,88.71,0
CL0259,34,14.6,1,6.2,mensuel,aucun,86.67,0
CL0260,18,16.2,2,5.8,mensuel,aucun,100.87,0
CL0261,48,3.2,2,5.6,mensuel,aucun,68.91,1
CL0262,52,12.2,0,6.6,mensuel,rétention,69.2,0
CL0263,28,16.7,1,5,mensuel,aucun,105.39,1
CL0264,6,15,2,6.2,mensuel,fidélité,114.5,0
CL0265,14,18.4,1,9.3,annuel,fidélité,74.79,0
CL0266,18,18,2,7.9,mensuel,aucun,100.6,1
CL0267,38,11.4,0,5.6,mensuel,aucun,112.14,1
CL0268,21,25.6,2,4.7,annuel,aucun,114.98,0
CL0269,3,19,2,4.4,mensuel,rétention,128.67,1
CL0270,21,6.7,0,8.6,mensuel,fidélité,68.88,0
CL0271,24,13.4,1,6.5,mensuel,fidélité,97.83,1
CL0272,6,13.8,0,6.8,mensuel,aucun,115.61,0
CL0273,31,13.9,2,9.1,mensuel,aucun,103.25,0
CL0274,51,16.9,4,5.1,annuel,aucun,104.34,1
CL0275,20,12,2,7,mensuel,fidélité,85.21,0
CL0276,26,22.2,2,6.6,mensuel,aucun,68.07,1
CL0277,48,23.5,2,6.3,annuel,aucun,129.33,0
CL0278,40,17.4,1,7,annuel,aucun,114.26,0
CL0279,48,23.8,7,6.8,mensuel,aucun,82.85,0
CL0280,16,19.1,3,5.1,annuel,rétention,110.5,0
CL0281,33,19,0,7.4,annuel,aucun,89.49,0
CL0282,30,21.8,1,4.7,mensuel,aucun,100.04,0
CL0283,30,15.8,0,5.4,mensuel,rétention,73.87,1
CL0284,30,9.1,0,6.2,mensuel,fidélité,90.08,0
CL0285,35,16.1,1,8.4,mensuel,aucun,90.83,0
CL0286,8,18.3,1,6.4,mensuel,fidélité,146.14,0
CL0287,7,16.7,0,6,annuel,fidélité,101.59,0
CL0288,50,12,0,8.3,mensuel,fidélité,55.45,0
CL0289,63,19.6,2,6.9,annuel,rétention,79.5,0
CL0290,20,14.7,1,7,mensuel,aucun,74.3,0
CL0291,24,13.6,0,7.2,annuel,fidélité,56.64,0
CL0292,69,20,1,6.2,mensuel,rétention,75.87,0
CL0293,15,22.2,2,5.4,annuel,aucun,72.92,0
CL0294,24,14.5,3,5.6,mensuel,aucun,116.7,1
CL0295,6,22.6,1,8.3,mensuel,fidélité,104.92,0
CL0296,56,13,1,6.8,mensuel,fidélité,87.43,0
CL0297,28,23.3,1,6.2,mensuel,aucun,102.16,0
CL0298,19,13.4,2,9.3,mensuel,aucun,121.05,0
CL0299,40,13,3,7.4,mensuel,aucun,104.9,0
CL0300,19,18.6,0,6.5,mensuel,fidélité,84.59,1
CL0301,59,18.1,0,6.9,annuel,aucun,108.31,0
CL0302,42,12.7,2,6.7,mensuel,aucun,91.13,0
CL0303,13,15.8,1,7.1,mensuel,fidélité,88.6,0
CL0304,23,10.1,1,5,mensuel,rétention,96.35,0
CL0305,46,12.4,0,9.8,annuel,aucun,89.98,0
CL0306,10,9.4,3,6.1,mensuel,fidélité,47.37,1
CL0307,22,15,1,8.2,mensuel,aucun,94.75,0
CL0308,17,17.5,0,7.7,mensuel,fidélité,108.41,1
CL0309,15,10.4,4,6.4,annuel,fidélité,79.92,1
CL0310,30,19.2,4,5.6,annuel,aucun,72.76,0
CL0311,9,12.3,1,6.6,mensuel,aucun,91.62,0
CL0312,14,23.2,1,6.9,annuel,fidélité,91.9,0
CL0313,8,14,1,7.6,annuel,aucun,87.27,1
CL0314,12,15,2,7.8,mensuel,aucun,91.11,0
CL0315,30,17.7,2,5.5,mensuel,aucun,98.76,0
CL0316,31,7.6,3,8.8,mensuel,fidélité,71.23,1
CL0317,19,21.3,1,7.4,mensuel,aucun,70.13,0
CL0318,56,5.6,2,7.4,annuel,aucun,75.7,0
CL0319,28,11.1,0,9.8,annuel,rétention,113.72,0
CL0320,27,9.1,0,5.4,mensuel,aucun,65.93,1
CL0321,50,6.3,1,5.4,annuel,aucun,98.6,0
CL0322,74,16.1,3,8.1,mensuel,aucun,83.16,0
CL0323,27,15.7,0,5.5,mensuel,aucun,79.97,0
CL0324,23,7.1,1,3.3,mensuel,fidélité,53.26,0
CL0325,42,16.4,1,7.2,mensuel,fidélité,88.83,0
CL0326,20,8.7,0,8.8,annuel,fidélité,102.61,0
CL0327,13,15.9,1,5.9,mensuel,aucun,103.12,0
CL0328,14,20.9,2,5.3,annuel,rétention,68.82,1
CL0329,10,10.4,1,6.8,mensuel,aucun,123.42,0
CL0330,40,19.2,2,9.8,annuel,fidélité,106.54,0
CL0331,58,21.8,2,5.8,mensuel,aucun,114.97,0
CL0332,8,15.5,1,8.3,annuel,fidélité,91.34,0
CL0333,29,12.8,0,7.2,annuel,aucun,91.87,0
CL0334,43,13.2,1,5.8,annuel,fidélité,95.4,0
CL0335,56,10.9,4,5.3,annuel,aucun,82.12,1
CL0336,31,16,1,7.6,annuel,fidélité,107.89,0
CL0337,40,9.5,3,5.8,mensuel,rétention,64.83,0
CL0338,34,24.7,3,6.9,annuel,aucun,85.72,0
CL0339,11,12.3,0,7.7,mensuel,aucun,95.42,0
CL0340,8,18.9,2,6.6,mensuel,aucun,101.01,0
CL0341,23,8.8,2,9.2,annuel,rétention,80.84,1
CL0342,14,15.8,0,7.5,annuel,aucun,67.52,0
CL0343,46,12,3,8.9,mensuel,fidélité,117.73,0
CL0344,49,12.9,2,8.3,annuel,aucun,66.3,0
CL0345,53,18.1,1,6.6,annuel,aucun,127.92,0
CL0346,19,7.4,3,4.6,mensuel,aucun,80.08,1
CL0347,30,11.6,3,6.1,mensuel,fidélité,89.55,1
CL0348,13,7.6,1,8.9,annuel,fidélité,87.75,0
CL0349,32,23.1,1,6.6,mensuel,rétention,116.75,0
CL0350,33,9.8,2,5.7,mensuel,aucun,83.18,0
CL0351,46,6.3,2,7.5,mensuel,aucun,86.41,0
CL0352,17,18.3,2,8.6,mensuel,fidélité,119.67,0
CL0353,50,7.1,1,8.6,mensuel,rétention,88.21,0
CL0354,18,15.7,1,6.3,annuel,aucun,93.68,0
CL0355,22,20.9,4,9.7,mensuel,fidélité,86.26,0
CL0356,21,7.7,2,4.6,mensuel,aucun,83.28,1
CL0357,47,9.7,1,4.4,annuel,aucun,81.81,0
CL0358,51,18.8,2,5.1,annuel,aucun,123.27,0
CL0359,8,6.8,2,6.9,mensuel,aucun,92.21,0
CL0360,17,14.8,2,6.7,mensuel,aucun,105.66,0
CL0361,10,22.1,2,5.7,mensuel,fidélité,115.59,0
CL0362,55,11.6,1,9.3,mensuel,fidélité,86.99,0
CL0363,49,12,2,7.2,mensuel,aucun,69.94,0
CL0364,20,16.7,2,7.7,mensuel,aucun,110.81,1
CL0365,22,15.2,0,5.5,mensuel,aucun,102.58,1
CL0366,18,11.4,1,8.3,annuel,fidélité,80.48,1
CL0367,14,14.2,5,6.7,mensuel,aucun,89.41,1
CL0368,21,12.9,1,8.2,annuel,aucun,92.33,0
CL0369,14,12.3,1,7.4,mensuel,fidélité,102.08,0
CL0370,48,12,3,6.3,annuel,aucun,81.4,1
CL0371,2,18.7,1,7.7,annuel,aucun,99.34,0
CL0372,32,14.1,3,6.2,annuel,rétention,71.31,1
CL0373,16,13,0,8,annuel,aucun,56.04,0
CL0374,22,16.7,2,5.1,mensuel,aucun,116.56,1
CL0375,41,18,0,7.7,mensuel,aucun,86.32,0
CL0376,20,3.5,3,5.9,mensuel,aucun,88.08,1
CL0377,15,9.7,2,8.2,mensuel,rétention,59.31,1
CL0378,53,19.4,1,8,mensuel,aucun,65.8,0
CL0379,12,6.8,2,6.1,annuel,aucun,28.86,1
CL0380,15,15.1,2,7,annuel,aucun,99.58,0
CL0381,15,12.6,1,9,mensuel,fidélité,72.79,0
CL0382,30,22.5,1,7.4,mensuel,aucun,98.96,0
CL0383,51,27.1,0,7.7,mensuel,fidélité,131.9,0
CL0384,35,17.3,1,6.1,mensuel,fidélité,101.52,0
CL0385,14,20.8,1,5.9,mensuel,fidélité,85.37,0
CL0386,38,5.3,0,8.4,annuel,fidélité,70.97,1
CL0387,16,12,1,5.4,mensuel,aucun,75.75,1
CL0388,32,8.4,2,7.9,mensuel,rétention,45.8,1
CL0389,52,18.2,0,8.2,annuel,fidélité,77.49,0
CL0390,89,19.9,2,6.4,mensuel,aucun,114.25,0
CL0391,19,10,1,7.8,mensuel,aucun,119.61,1
CL0392,25,8.7,3,7.1,mensuel,rétention,73.13,1
CL0393,43,15.7,0,9.5,mensuel,aucun,116.6,0
CL0394,61,10.9,4,8.1,mensuel,aucun,79.94,1
CL0395,10,20.1,1,7.1,annuel,aucun,90.88,0
CL0396,17,12.3,0,7.8,mensuel,rétention,61.09,0
CL0397,31,22.9,0,8.1,mensuel,aucun,102.61,0
CL0398,7,13.4,0,8,mensuel,fidélité,74.17,0
CL0399,15,11.8,0,7.3,mensuel,fidélité,96.15,0
CL0400,25,18.9,4,4.5,mensuel,aucun,111.76,1
CL0401,57,12.4,3,6.1,mensuel,aucun,110.14,0
CL0402,89,10.4,2,8.6,mensuel,aucun,127.71,0
CL0403,13,12.7,1,7.1,mensuel,rétention,101.04,1
CL0404,9,13.9,2,6.7,mensuel,aucun,89.03,1
CL0405,49,21.6,2,6.6,mensuel,aucun,139.47,0
CL0406,18,28.6,1,6.9,mensuel,aucun,104.95,0
CL0407,33,13.8,1,6.4,annuel,aucun,100.45,0
CL0408,66,12.1,3,9,annuel,aucun,106.72,0
CL0409,46,10.2,1,7.9,mensuel,fidélité,118.12,0
CL0410,11,10.1,0,8.4,mensuel,fidélité,59.06,0
CL0411,11,21.1,0,6.7,mensuel,aucun,119.4,0
CL0412,32,17.1,3,7.7,mensuel,aucun,80.79,0
CL0413,8,10.1,1,7.5,mensuel,aucun,110.75,1
CL0414,17,20.5,1,6.3,mensuel,rétention,95.27,1
CL0415,18,22,1,9.5,mensuel,aucun,77.06,0
CL0416,11,14.6,1,6.7,mensuel,aucun,61.62,0
CL0417,25,16.8,1,7.7,annuel,aucun,98.05,0
CL0418,13,10.4,2,5,mensuel,fidélité,100.58,1
CL0419,36,11.2,1,6.4,annuel,rétention,79.44,0
CL0420,20,8,1,8.7,mensuel,fidélité,73.4,0
CL0421,48,21.7,2,5.7,mensuel,fidélité,112.67,0
CL0422,20,15.2,0,9.6,annuel,aucun,93.41,1
CL0423,14,14.3,3,5.4,mensuel,aucun,97.29,0
CL0424,25,11.8,2,5.9,mensuel,aucun,88.46,1
CL0425,29,7.8,2,6.5,mensuel,aucun,110.73,1
CL0426,43,15.1,2,8.9,annuel,aucun,91.25,0
CL0427,25,13.1,0,6.5,annuel,fidélité,136.98,0
CL0428,20,15.9,1,6.6,mensuel,fidélité,87.96,0
CL0429,68,20.7,2,5.1,mensuel,aucun,94.65,0
CL0430,26,16.8,1,6.7,mensuel,aucun,115.42,0
CL0431,25,6.6,1,9.1,mensuel,aucun,92.61,0
CL0432,31,12.5,2,6.1,mensuel,fidélité,66.34,1
CL0433,8,17.3,0,8.3,mensuel,aucun,92.98,0
CL0434,28,13.8,0,8.3,mensuel,aucun,120.81,0
CL0435,23,15.3,2,9,annuel,aucun,103.22,1
CL0436,43,17.1,1,6.2,annuel,rétention,75.38,0
CL0437,27,16.7,2,7,mensuel,aucun,80.75,0
CL0438,72,15.7,1,8.2,mensuel,rétention,48.47,0
CL0439,49,13.4,2,7.7,mensuel,fidélité,93.66,0
